session_id,user_id,session_date,device_type,traffic_source,session_duration_seconds,pages_viewed,bounce_rate,converted,revenue
session_000000,user_04914,2025-03-18,Mobile,Social,64.52746359712971,5,0,0,0.0
session_000001,user_04429,2025-05-23,Mobile,Paid Search,937.8115305225349,10,0,0,0.0
session_000002,user_09677,2025-05-13,Mobile,Organic,313.56503987765086,5,0,0,0.0
session_000003,user_07463,2025-03-23,Desktop,Organic,184.284150025466,8,0,0,0.0
session_000004,user_04267,2025-04-17,Desktop,Organic,40.36438388977238,5,0,0,0.0
session_000005,user_05807,2025-03-17,Mobile,Social,175.10513679357032,2,0,0,0.0
session_000006,user_00660,2025-04-17,Mobile,Organic,87.75523807964336,3,0,0,0.0
session_000007,user_06267,2025-04-05,Mobile,Email,127.71474862985632,3,0,0,0.0
session_000008,user_08705,2025-04-14,Mobile,Direct,66.18158676590063,2,0,0,0.0
session_000009,user_02031,2025-05-04,Desktop,Organic,30.0,6,0,0,0.0
session_000010,user_01132,2025-06-04,Mobile,Paid Search,380.14205594385174,3,0,0,0.0
session_000011,user_02618,2025-05-22,Mobile,Email,320.1606539321041,6,0,0,0.0
session_000012,user_09777,2025-05-10,Mobile,Organic,244.5748679373991,5,0,0,0.0
session_000013,user_00803,2025-05-04,Desktop,Paid Search,264.8787546867987,4,0,0,0.0
session_000014,user_03971,2025-05-06,Desktop,Paid Search,623.178267541697,2,0,0,0.0
session_000015,user_00314,2025-04-10,Mobile,Paid Search,755.8632406231009,7,0,0,0.0
session_000016,user_04389,2025-03-27,Desktop,Paid Search,56.57737132046658,9,0,0,0.0
session_000017,user_00018,2025-05-15,Mobile,Email,297.33648929921884,8,0,0,0.0
session_000018,user_05163,2025-05-27,Desktop,Organic,30.0,9,0,0,0.0
session_000019,user_01773,2025-05-09,Mobile,Social,152.44228982651796,4,0,0,0.0
session_000020,user_02600,2025-06-05,Desktop,Direct,920.437908222703,10,0,0,0.0
session_000021,user_08742,2025-03-31,Mobile,Email,164.54077369498066,3,0,0,0.0
session_000022,user_02463,2025-04-07,Tablet,Organic,327.1302854242434,2,0,0,0.0
session_000023,user_00604,2025-05-12,Mobile,Social,920.7858789308834,6,0,1,18.9
session_000024,user_05500,2025-04-15,Desktop,Paid Search,237.11712219777053,3,0,0,0.0
session_000025,user_01919,2025-05-20,Desktop,Social,66.35327068926314,6,0,0,0.0
session_000026,user_04879,2025-04-26,Desktop,Email,148.63602193023243,1,1,0,0.0
session_000027,user_02406,2025-03-17,Mobile,Organic,30.416958967522117,2,0,0,0.0
session_000028,user_02707,2025-05-19,Mobile,Organic,404.19943493960017,2,0,0,0.0
session_000029,user_04062,2025-05-03,Mobile,Organic,254.73931464535215,8,0,0,0.0
