user_id,age,gender,registration_date,country,customer_segment
user_00000,41,F,2023-07-12,AU,Regular
user_00001,33,M,2024-03-10,BR,Regular
user_00002,28,M,2024-03-09,AU,Premium
user_00003,29,M,2024-02-23,AU,Premium
user_00004,24,M,2023-07-26,AU,Regular
user_00005,18,Other,2024-01-24,US,Regular
user_00006,28,M,2024-07-07,US,Regular
user_00007,46,F,2025-05-08,BR,Regular
user_00008,20,F,2025-02-26,AU,Premium
user_00009,48,F,2023-12-04,IN,Budget
user_00010,44,M,2023-06-16,CA,Budget
user_00011,37,F,2024-07-09,CA,Regular
user_00012,36,M,2025-01-06,JP,Premium
user_00013,40,Other,2024-07-03,UK,Regular
user_00014,46,F,2024-02-08,UK,Premium
user_00015,43,F,2025-05-10,US,Regular
user_00016,49,F,2023-12-13,CA,Premium
user_00017,24,F,2025-06-07,AU,Regular
user_00018,75,M,2023-12-06,UK,Regular
user_00019,24,F,2024-10-14,UK,Regular
user_00020,32,M,2024-12-23,US,Budget
user_00021,39,F,2024-10-12,US,Budget
user_00022,41,F,2025-05-15,US,Regular
user_00023,49,F,2023-09-11,JP,Budget
user_00024,27,M,2023-09-18,JP,Budget
user_00025,31,M,2024-03-13,CA,Regular
user_00026,22,M,2024-06-03,US,Regular
user_00027,46,M,2024-02-01,US,Regular
user_00028,48,M,2025-03-23,US,Budget
user_00029,47,M,2024-10-30,DE,Regular
user_00030,18,F,2024-10-08,DE,Regular
user_00031,53,M,2024-08-22,UK,Regular
user_00032,42,M,2023-10-12,US,Regular
user_00033,61,F,2023-08-22,UK,Regular
user_00034,46,M,2023-07-02,US,Regular
user_00035,42,M,2024-07-09,JP,Regular
user_00036,25,F,2024-08-18,US,Regular
user_00037,43,F,2023-11-18,US,Budget
user_00038,36,F,2025-06-03,US,Regular
user_00039,41,F,2024-05-04,BR,Regular
user_00040,27,M,2024-04-16,DE,Regular
user_00041,38,M,2024-02-25,DE,Premium
user_00042,37,F,2023-06-23,IN,Premium
user_00043,20,M,2024-05-10,UK,Regular
user_00044,47,F,2025-05-10,CA,Regular
user_00045,40,F,2025-05-21,US,Budget
user_00046,46,F,2024-10-29,UK,Regular
user_00047,32,F,2024-02-17,US,Regular
user_00048,22,F,2024-02-21,US,Budget
user_00049,41,F,2025-05-06,BR,Regular
user_00050,30,M,2025-01-02,UK,Premium
user_00051,44,F,2023-11-24,DE,Regular
user_00052,38,Other,2023-09-12,CA,Budget
user_00053,25,F,2024-05-15,DE,Regular
user_00054,46,F,2024-04-30,BR,Regular
user_00055,28,F,2023-07-28,US,Premium
user_00056,28,F,2025-01-20,UK,Premium
user_00057,33,F,2025-04-22,CA,Regular
user_00058,43,M,2023-07-21,US,Regular
user_00059,18,F,2023-10-08,CA,Regular
user_00060,42,M,2024-06-27,CA,Regular
user_00061,20,F,2024-09-16,IN,Regular
user_00062,34,M,2025-04-15,US,Premium
user_00063,29,F,2025-02-05,DE,Regular
user_00064,31,M,2023-09-13,US,Premium
user_00065,31,F,2024-09-13,CA,Regular
user_00066,55,M,2025-01-09,UK,Regular
user_00067,29,M,2024-11-04,US,Premium
user_00068,40,M,2024-11-06,FR,Budget
user_00069,44,M,2024-10-01,UK,Regular
user_00070,54,M,2024-11-01,US,Budget
user_00071,51,F,2024-07-22,DE,Regular
user_00072,39,F,2023-07-23,AU,Premium
user_00073,46,F,2024-04-11,IN,Regular
user_00074,38,M,2023-10-16,JP,Premium
user_00075,28,F,2023-10-04,CA,Regular
user_00076,41,M,2023-06-14,JP,Regular
user_00077,33,M,2024-03-12,AU,Regular
user_00078,28,M,2025-03-08,UK,Budget
user_00079,40,F,2024-06-08,DE,Regular
user_00080,27,F,2023-10-25,JP,Regular
user_00081,19,F,2024-12-17,US,Budget
user_00082,30,F,2024-05-24,CA,Regular
user_00083,47,M,2025-04-04,US,Regular
user_00084,49,F,2023-11-21,US,Budget
user_00085,44,F,2024-05-10,CA,Regular
user_00086,31,M,2023-11-02,DE,Budget
user_00087,45,F,2024-10-25,US,Regular
user_00088,29,M,2024-07-08,AU,Budget
user_00089,38,F,2023-08-25,IN,Budget
user_00090,27,M,2024-03-24,UK,Regular
user_00091,51,M,2023-12-29,US,Regular
user_00092,35,M,2024-02-22,FR,Budget
user_00093,32,F,2024-05-21,AU,Budget
user_00094,18,F,2025-02-15,IN,Premium
user_00095,25,F,2025-01-14,US,Budget
user_00096,33,F,2024-03-28,CA,Regular
user_00097,38,F,2024-04-23,IN,Regular
user_00098,52,F,2024-07-17,IN,Budget
user_00099,27,M,2023-08-14,UK,Premium
user_00100,20,M,2023-12-20,US,Budget
user_00101,54,Other,2024-01-27,US,Regular
user_00102,56,M,2023-12-02,US,Budget
user_00103,18,M,2023-07-04,AU,Regular
user_00104,49,Other,2024-12-17,UK,Regular
user_00105,29,M,2023-07-24,JP,Regular
user_00106,18,M,2024-01-11,DE,Regular
user_00107,28,F,2024-04-01,AU,Regular
user_00108,27,M,2024-03-12,US,Budget
user_00109,51,F,2024-03-23,BR,Regular
user_00110,35,M,2024-08-10,BR,Regular
user_00111,30,F,2024-05-07,US,Premium
user_00112,43,F,2024-04-03,BR,Regular
user_00113,51,Other,2024-08-10,AU,Regular
user_00114,46,M,2024-12-28,CA,Budget
user_00115,33,M,2025-02-26,BR,Budget
user_00116,18,M,2023-12-14,AU,Regular
user_00117,34,M,2025-04-30,US,Premium
user_00118,22,M,2024-11-29,BR,Regular
user_00119,41,F,2025-04-12,US,Premium
user_00120,29,M,2024-05-03,CA,Regular
user_00121,25,M,2025-04-27,UK,Regular
user_00122,34,F,2025-02-11,DE,Regular
user_00123,36,M,2025-04-25,US,Regular
user_00124,42,M,2023-06-24,CA,Budget
user_00125,44,M,2025-05-15,UK,Regular
user_00126,45,F,2024-06-14,CA,Premium
user_00127,23,M,2025-05-28,US,Regular
user_00128,38,F,2025-03-18,UK,Premium
user_00129,20,F,2024-11-12,CA,Regular
user_00130,31,F,2024-02-28,AU,Regular
user_00131,61,M,2023-10-26,UK,Regular
user_00132,38,M,2024-08-01,IN,Regular
user_00133,45,M,2023-08-20,US,Regular
user_00134,49,M,2024-06-27,US,Budget
user_00135,35,M,2024-10-12,US,Regular
user_00136,45,M,2025-02-14,US,Premium
user_00137,37,F,2024-03-28,FR,Regular
user_00138,50,M,2024-04-28,UK,Regular
user_00139,34,F,2025-02-19,CA,Regular
user_00140,32,F,2024-01-18,CA,Regular
user_00141,37,M,2023-07-23,CA,Regular
user_00142,18,F,2023-10-25,US,Regular
user_00143,38,F,2023-12-10,UK,Regular
user_00144,37,M,2023-12-13,BR,Regular
user_00145,36,M,2024-06-28,US,Regular
user_00146,29,M,2025-06-07,US,Regular
user_00147,30,F,2023-10-20,BR,Regular
user_00148,32,M,2023-07-22,AU,Regular
user_00149,51,M,2023-08-17,UK,Regular
user_00150,26,M,2025-05-04,US,Budget
user_00151,36,F,2023-12-06,US,Regular
user_00152,43,F,2024-04-18,IN,Regular
user_00153,62,F,2024-04-27,FR,Premium
user_00154,53,F,2025-02-14,JP,Premium
user_00155,40,F,2024-11-08,AU,Regular
user_00156,23,M,2023-07-28,FR,Regular
user_00157,71,F,2024-08-24,FR,Regular
user_00158,21,M,2024-07-01,IN,Premium
user_00159,27,F,2024-11-14,AU,Premium
user_00160,56,F,2025-02-05,US,Regular
user_00161,42,F,2025-04-22,FR,Budget
user_00162,34,M,2024-05-03,US,Premium
user_00163,44,F,2025-06-11,BR,Regular
user_00164,18,M,2025-01-26,US,Regular
user_00165,53,F,2023-11-15,UK,Budget
user_00166,34,F,2024-06-30,CA,Regular
user_00167,45,M,2024-12-15,US,Regular
user_00168,47,M,2023-08-16,US,Regular
user_00169,27,M,2025-03-20,CA,Regular
user_00170,36,M,2024-07-20,AU,Premium
user_00171,49,F,2023-06-20,UK,Regular
user_00172,18,F,2025-05-24,US,Regular
user_00173,53,M,2024-11-30,CA,Regular
user_00174,54,M,2024-09-21,BR,Budget
user_00175,35,M,2024-03-11,BR,Regular
user_00176,50,M,2024-03-26,CA,Regular
user_00177,18,M,2024-10-26,US,Regular
user_00178,31,M,2025-03-26,AU,Budget
user_00179,32,F,2024-01-29,DE,Regular
user_00180,42,M,2023-08-09,US,Premium
user_00181,31,M,2023-12-12,DE,Regular
user_00182,38,M,2024-05-22,UK,Premium
user_00183,44,F,2024-09-29,AU,Regular
user_00184,38,F,2024-09-05,US,Regular
user_00185,34,Other,2023-06-16,JP,Regular
user_00186,61,M,2024-09-07,JP,Budget
user_00187,43,F,2025-02-23,DE,Regular
user_00188,36,F,2025-05-02,US,Regular
user_00189,51,F,2024-05-30,FR,Premium
user_00190,30,M,2024-12-26,US,Regular
user_00191,27,F,2023-07-28,JP,Regular
user_00192,30,M,2024-06-14,US,Premium
user_00193,52,F,2025-05-14,UK,Regular
user_00194,51,M,2024-10-28,IN,Regular
user_00195,24,F,2024-05-02,FR,Regular
user_00196,28,F,2024-06-12,US,Regular
user_00197,36,M,2025-03-31,US,Regular
user_00198,59,M,2025-05-04,US,Premium
user_00199,34,M,2024-04-03,US,Regular
user_00200,26,F,2025-05-26,IN,Regular
user_00201,32,M,2024-07-29,IN,Regular
user_00202,50,F,2023-07-03,IN,Budget
user_00203,43,F,2023-11-19,IN,Budget
user_00204,45,M,2023-09-22,FR,Premium
user_00205,37,M,2023-06-16,JP,Regular
user_00206,34,F,2023-10-06,US,Regular
user_00207,27,M,2024-12-06,CA,Budget
user_00208,18,M,2025-05-04,UK,Regular
user_00209,51,F,2024-05-11,AU,Budget
user_00210,19,M,2024-12-24,IN,Premium
user_00211,42,M,2024-09-11,IN,Regular
user_00212,29,M,2023-07-16,AU,Regular
user_00213,52,M,2024-06-18,CA,Regular
user_00214,35,M,2024-07-23,FR,Regular
user_00215,33,M,2023-11-05,US,Regular
user_00216,27,F,2024-03-29,BR,Regular
user_00217,45,F,2024-10-29,US,Budget
user_00218,49,F,2024-07-17,US,Regular
user_00219,54,M,2024-01-23,FR,Regular
user_00220,52,F,2024-11-08,BR,Regular
user_00221,28,F,2025-03-15,AU,Regular
user_00222,28,F,2024-07-15,US,Regular
user_00223,30,F,2024-05-13,US,Regular
user_00224,18,F,2023-10-19,CA,Budget
user_00225,26,M,2023-10-28,US,Budget
user_00226,46,F,2025-05-03,DE,Regular
user_00227,35,M,2024-09-23,CA,Budget
user_00228,27,M,2024-06-14,US,Budget
user_00229,29,M,2023-08-15,FR,Premium
user_00230,31,F,2025-03-22,JP,Budget
user_00231,25,F,2024-08-21,US,Premium
user_00232,43,M,2023-07-13,US,Budget
user_00233,18,M,2024-03-02,FR,Regular
user_00234,34,F,2024-11-02,FR,Regular
user_00235,38,M,2024-02-14,US,Regular
user_00236,31,F,2023-07-08,US,Premium
user_00237,37,F,2024-09-15,IN,Budget
user_00238,28,F,2025-06-05,US,Budget
user_00239,40,M,2024-03-10,DE,Regular
user_00240,18,M,2025-01-06,US,Budget
user_00241,18,F,2025-03-20,DE,Regular
user_00242,43,M,2025-03-20,UK,Regular
user_00243,34,Other,2024-09-28,UK,Regular
user_00244,26,F,2024-01-05,AU,Regular
user_00245,43,F,2025-04-13,US,Budget
user_00246,43,F,2024-11-25,AU,Premium
user_00247,44,M,2024-05-30,AU,Regular
user_00248,23,M,2024-10-19,US,Regular
user_00249,34,M,2023-06-17,AU,Regular
